version,one_way_cost,net_sharpe,net_cumulative_return,max_drawdown
B0,0.0005,1.0074387679494283,0.5819812767200099,0.3698465283880207
B0,0.002,0.6412745860359947,0.2904636242908829,0.3839252919336765
V1,0.0005,1.0074387679494283,0.5819812767200099,0.3698465283880207
V1,0.002,0.6412745860359947,0.2904636242908829,0.3839252919336765
V2,0.0005,1.0074387679494283,0.5819812767200099,0.3698465283880207
V2,0.002,0.6412745860359947,0.2904636242908829,0.3839252919336765
V3,0.0005,1.0074387679494283,0.5819812767200099,0.3698465283880207
V3,0.002,0.6412745860359947,0.2904636242908829,0.3839252919336765
V4,0.0005,1.0079372662045263,0.582420441099128,0.3698465283880208
V4,0.002,0.6415040139256161,0.29062838394201806,0.3839252919336765
V5,0.0005,1.0069245081957385,0.5814713700559693,0.369846528388021
V5,0.002,0.6404541715686514,0.2898542337697765,0.3839252919336763
