t,date,version,fit_id,a,c,fallback_reason,rank_ic,pearson_ic,valid_stocks,correct_directions,active_directions,zero_predictions,zero_targets,positive_targets,negative_targets,mse
260,2025-02-05,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,-0.3040695190916104,-0.11322761905401431,98,38,98,0,0,38,60,0.003734748416548433
261,2025-02-06,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,-0.06978048951539377,0.009122481176133495,98,38,98,0,0,38,60,0.002832454789228827
262,2025-02-07,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,-0.07592652806202142,0.10238023314348577,98,33,98,0,0,33,65,0.0020023139772643913
263,2025-02-10,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,-0.2366543618384561,-0.015645955171460835,98,40,98,0,0,40,58,0.0020152123271038967
264,2025-02-11,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,-0.10656746297394308,0.07579583178668857,98,38,98,0,0,38,60,0.002138250892073747
265,2025-02-12,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,0.4036302431000516,0.36263557103104843,98,39,98,0,0,39,59,0.002830900296872366
266,2025-02-13,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,0.5648298682172025,0.49022258588645456,98,39,98,0,0,39,59,0.0040396744936736515
267,2025-02-14,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,0.4788160109404586,0.4453212381908636,97,36,97,0,0,36,61,0.0037629981845175966
268,2025-02-17,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,0.5528876499053229,0.48693018163016366,97,39,97,0,0,39,58,0.00631997706692587
269,2025-02-18,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,0.3483194824321481,0.29294730976951205,97,31,97,0,0,31,66,0.006606355714345855
270,2025-02-19,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,0.15569114243635596,0.2085650343089476,97,33,97,0,0,33,64,0.007198149786020101
271,2025-02-20,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,-0.332053439932674,-0.17694365904494222,97,43,97,0,0,43,54,0.00420566260209757
272,2025-02-21,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,-0.4489401430675362,-0.32803851233596293,97,47,97,0,0,47,50,0.002984170091911224
273,2025-02-24,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,-0.27673311592678307,-0.16030039078339633,97,50,97,0,0,50,47,0.002624104097077326
274,2025-02-25,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,-0.33465705869976853,-0.20218897362697824,97,44,97,0,0,44,53,0.0028938352758384922
275,2025-02-26,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,-0.03404428781822007,0.08200409266381524,97,39,97,0,0,39,58,0.0020540154601889093
276,2025-02-27,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,0.39509257311171886,0.41632340523563577,97,31,97,0,0,31,66,0.0032331674162941917
277,2025-02-28,B0,B0,0.00024481468942462177,0.0,unidentifiable_c,0.3865190406059331,0.45489794892924884,97,34,97,0,0,34,63,0.0030289582648453774
278,2025-03-03,B0,B0,0.0003012358948034905,0.0,unidentifiable_c,0.24927677256469596,0.31438777337446094,97,37,97,0,0,37,60,0.0021943128101153007
279,2025-03-04,B0,B0,0.0003012358948034905,0.0,unidentifiable_c,0.16931411739953714,0.15176392061481128,97,42,97,0,0,42,55,0.0016498789722026676
280,2025-03-05,B0,B0,0.0003012358948034905,0.0,unidentifiable_c,-0.3368530401851462,-0.23985068932072182,97,50,97,0,0,50,47,0.0017503514491650927
281,2025-03-06,B0,B0,0.0003012358948034905,0.0,unidentifiable_c,-0.3557884494003787,-0.29584747618174884,97,50,97,0,0,50,47,0.0014225236233608698
282,2025-03-07,B0,B0,0.0003012358948034905,0.0,unidentifiable_c,-0.4346596886177151,-0.43284029320443135,97,51,97,0,0,51,46,0.0010990168318122597
283,2025-03-10,B0,B0,0.0003012358948034905,0.0,unidentifiable_c,-0.4441405428150641,-0.42439087224602856,97,47,97,0,0,47,50,0.001074629582514092
284,2025-03-11,B0,B0,0.0003012358948034905,0.0,unidentifiable_c,-0.3538817588891226,-0.2742206114967069,97,49,97,0,0,49,48,0.000847738546064403
285,2025-03-12,B0,B0,0.0003012358948034905,0.0,unidentifiable_c,-0.12354039553965915,-0.014463600078648818,97,42,97,0,0,42,55,0.0012938800175292333
