version,stocks,signal_days,mean_rank_ic,icir,mean_pearson_ic,mean_mse,directional_accuracy,directional_coverage,majority_direction_baseline,net_sharpe,net_cumulative_return,max_drawdown,mean_daily_turnover,total_fee_in_initial_nav_units,maximum_stale_weight,fallback_days
B0,98,378,-0.03318459582655265,-0.10943968220249325,0.00770489220219787,0.0038317847578487707,0.5074229576575835,1.0,0.5644740813918389,0.8853862376102405,0.4781443930590459,0.3745749548631254,0.3536620364677308,0.1757931917654442,0.14471298156629167,165
V1,98,378,-0.03318459582655265,-0.10943968220249325,0.00770489220219788,0.0038317847578487707,0.5074229576575835,1.0,0.5644740813918389,0.8853862376102405,0.4781443930590459,0.3745749548631254,0.3536620364677308,0.1757931917654442,0.14471298156629167,378
V2,98,378,-0.03318936891777256,-0.10945391812621111,0.007704813932508069,0.0038317847961960886,0.5074229576575835,1.0,0.5644740813918389,0.8853862376102405,0.4781443930590459,0.3745749548631254,0.3536620364677308,0.1757931917654442,0.14471298156629167,187
V3,98,378,-0.033186246446301,-0.10944508137910446,0.007704912765405529,0.003831785026179479,0.5074229576575835,1.0,0.5644740813918389,0.8853862376102405,0.4781443930590459,0.3745749548631254,0.3536620364677308,0.1757931917654442,0.14471298156629167,165
V4,98,378,-0.03318479874147851,-0.10944072284672378,0.007704538898061332,0.0038317857249126615,0.5074229576575835,1.0,0.5644740813918389,0.88579503470873,0.47848082276016957,0.3745749548631254,0.3539223883190828,0.17593956075899747,0.14471298156629167,165
V5,98,378,-0.033169211475995844,-0.10938667888999426,0.00770480895944478,0.003831783783895281,0.5074229576575835,1.0,0.5644740813918389,0.8847699031919649,0.47759405832507906,0.3745749548631253,0.3539225008356877,0.17590245662763176,0.14471298156629167,165
