universe,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,annualized_turnover,calmar_ratio
full,-0.012639999723747297,0.04927617338832738,-0.23354524838022492,0.0885843492320752,0.09535672053606623,-0.14268885907410972
student_A,-0.004810096710420431,0.08891831056335497,-0.009825522054738004,0.1013905595173487,0.12749082007343943,-0.04744126803637361
student_B,0.06432209888092943,0.11853454725607311,0.5851524922564021,0.15940964358451967,0.12697674418604654,0.4035019302130588
student_C,0.020740574612656326,0.11634061057956359,0.2346692307483279,0.13905906705636903,0.01953488372093023,0.1491493870316915
