year,annual_alpha,beta,r_squared,t_stat
2024,-0.04552001559197323,0.17591323026785188,0.33131382626869044,-0.6060804684339585
2025,-0.04032965368409897,0.1671256202169449,0.2645929824599582,-0.6577547587045272
2026,-0.053658974036117996,0.18233402865698442,0.173223881481833,-0.4183760099087738
