rebalance_date,v2_b,v2_w_norm,v3_b,v3_w_norm,v4_eta,v4_w_norm,v5_xi,v5_w_norm
2024-09-09,3.0,0.14284209901456973,1.566730885359866,0.6154870296378255,-0.09836389731629089,0.5691553124098546,3.0,0.5692543574306317
2024-10-17,1.7388280118751571,0.8291198133959136,1.409775639725823,1.1266282300147705,-0.9251512354689588,0.7130243148151962,3.0,0.7022504288455675
2024-11-15,1.3413279396330438,0.9687327488306632,1.499237516396382,1.036724762931918,-0.3043687615481418,0.761470092144091,3.0,0.7617093201880994
2024-12-16,0.6518373895981852,1.0436028241336888,0.6788432943380039,1.0028557399611366,-0.8247626375441779,0.8207720141554793,3.0,0.8194173873875182
2025-01-15,1.38826179620791,0.9324352426550057,0.8251927009961224,0.8661576038062004,-0.854699430394654,0.718468545280552,3.0,0.7167321800463012
2025-02-21,1.5582909857106186,0.8962506771462269,1.745638653112203,0.7394062520357493,-0.8705750182159288,0.6232294060222399,3.0,0.6245810939968944
2025-03-24,1.6302407305657478,0.8027188138799426,3.0,0.1548002218496682,-0.27604167289403575,0.32699477351666734,3.0,0.3317688512831686
2025-04-23,1.1937871283094765,0.5376998393496266,1.3657320321198947,0.600311262367847,-0.8935420689430112,0.5309403516635008,3.0,0.5314638153384296
2025-05-27,2.8221133696343514,0.13446788837013599,3.0,0.1800789174931768,-1.8462893881613252,0.36079269357785443,0.09750181105131303,0.3604799192925885
2025-06-26,3.0,0.1616829315555594,3.0,0.1587802221269902,-1.7089118390273041,0.3356747422984814,0.09413333597876886,0.33567855007155395
2025-07-25,1.9924088991466675,0.48494347084845824,0.8059792363537285,0.9427270868770488,-0.9089735633283221,0.9651401255333009,3.0,0.8054206480022646
2025-09-09,0.4091977590235613,0.9027781421235527,0.14375692052420777,0.9659351588157596,-2.545127754782237,0.9553338515324074,3.0,0.9471606582161154
2025-10-24,-0.3235825290275794,0.8476757031495401,-0.8395806719936577,0.8596340301691062,-3.0,0.7226404254690258,3.0,0.7164754772487661
2025-11-24,0.959010333035721,0.9747715985246971,1.1538112402259084,0.9810701996056705,0.2726474176177904,0.9884287598763118,3.0,0.9818906098511831
2026-01-14,0.15821865282336353,0.9074161703184647,0.24640590772641416,0.8977171269084198,1.5221334928682682,0.7567461104517232,3.0,0.7539447232406781
2026-03-05,-0.06034136336627731,0.9081604883024268,0.20478380486171047,0.8770939788694705,3.0,0.3708014428556613,3.0,0.3701207115974261
2026-04-03,-0.2001740773985574,0.7194258746519525,-0.18090540203913955,0.7066756333748672,0.19909225690121066,0.6341437697064211,3.0,0.6268755877133615
2026-05-08,0.19404001759276657,0.7591373696028091,0.16350836311207195,0.7224969878989719,-0.02899160809428298,0.7050774588699175,3.0,0.695975435433232
2026-06-08,0.3851256444751649,0.7505845253042551,-0.1173672500014559,0.9076312132921095,0.10373373505311613,0.7455775720234845,3.0,0.7382315190150239
2026-07-08,-0.8106729821186236,1.0677525480004137,-0.6377514876976386,1.2915940925367169,-0.7354853471198664,0.8316233406625768,3.0,0.8218679845192454
2026-08-06,-0.36988804599333874,1.1549714788731438,0.03177402105133469,1.1981052154380352,-1.3140681431898389,0.932564580105543,3.0,0.9206811168991708
